Id,Nivel,Grado,Campos,Componentes,Organizador1,Organizador2,ApEs,Apes_Detalle,Escala_Sugerida,Indicador1,Indicador2,Indicador3,Indicador4,Observaciones,Activo
1,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Explora los acervos disponibles y reconoce algunas de sus características.,"Explora los acervos para elegir algunos textos informativos, que leerá con algún propósito.",Lo logra / En ocasiones lo logra / No lo logra,Elige diferentes textos informativos.,Explora los acervos para elegir textos informativos.,Lee textos informativos con algún propósito.,,NADA,1
2,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Explora los acervos disponibles y reconoce algunas de sus características.,"Diferencia los textos informativos de otros géneros, con ayuda del docente, a partir de indicadores textuales como portada, contraportada, apartados, acomodo del texto en la página, títulos, subtítulos.","Frecuentemente, poco, nunca",Diferencia los textos informativos de otros géneros.,Diferencia los textos a partir de la portada y contraportada de un libro.,Diferencia los textos a partir de los apartados de un libro.,Diferencia los textos a partir del acomodo de un texto en la página (títulos y subtítulos) de un libro..,NADA,1
3,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Explora los acervos disponibles y reconoce algunas de sus características.,Expresa verbalmente algunas características que identifica sobre los textos informativos.,"Frecuentemente, poco, nunca",Expresa verbalmente algunas características que identifica sobre los textos informativos,,,,NADA,1
4,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Explora los acervos disponibles y reconoce algunas de sus características.,Identifica algunas palabras en los títulos.,"si, no, muy frecuentemente",Identifica algunas palabras escritas en los títulos de un libro.,,,,NADA,1
5,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Explora los acervos disponibles y reconoce algunas de sus características.,Lee los textos seleccionados con el apoyo del docente y adquiere autonomía para hacerlo por sí mismo a lo largo del grado.,Lo logra / En ocasiones lo logra / No lo logra,Lee los textos seleccionados con el apoyo del docente.,Adquiere autonomía para leer textos seleccionados.,,,NADA,1
6,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Explora los acervos disponibles y reconoce algunas de sus características.,Expresa lo qué comprendió de la lectura de cada texto.,"si, no, muy frecuentemente",Expresa lo qué comprendió de la lectura.,Expresa lo qué comprendió de la lectura de cada texto.,,,NADA,1
7,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos,"Selecciona textos para escuchar su lectura.
",Elige un tema de su interés sobre el cual desea aprender más.,"si, no, muy frecuentemente",Elige un tema de su interés para aprender más sobre el.,Elige un tema que le interesa e investiga para saber más.,,,NADA,1
8,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos,"Selecciona textos para escuchar su lectura.
","Explora los acervos para ubicar diferentes materiales de lectura, de carácter informativo, que se vinculen con su propósito de lectura.",Lo logra / En ocasiones lo logra / No lo logra,Explora los acervos para ubicar diferentes materiales de lectura.,Explora los acervos para ubicar diferentes materiales de carácer informativo.,"Vincula los acervos de lectura, de carácter informativo con su proósito de lectura.",,NADA,1
9,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos,"Selecciona textos para escuchar su lectura.
",Escucha la lectura en voz alta de los materiales seleccionados y adquiere autonomía para hacerlo por sí mismo a lo largo del grado.,"si, no, muy frecuentemente",Escucha la lectura en voz ala de los materiales seleccionados.,Adquiere autonomía a lo largo del grado para escuchar la lectura en voz alta de los materiales seleccionados.,,,NADA,1
10,Primaria,1,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos,"Selecciona textos para escuchar su lectura.
",Expresa al grupo la nueva información que aprendió sobre el tema de su interés luego de leer diversas fuentes.,"Frecuentemente, poco, nunca",Expresa a su grupo la infromación que aprendió del tema que fue de su interés.,,,,NADA,1
